Client,Project,User,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,Total
TD Tran,Exercice,TD Tran,03:03:18,01:49:00,00:00:00,02:36:00,00:53:56,02:27:56,00:00:00,10:50:10
TD Tran,Idle,TD Tran,00:39:38,00:10:03,00:19:27,01:06:29,00:29:18,00:22:21,00:00:00,03:07:16
TD Tran,Learning,TD Tran,05:08:10,06:44:49,05:13:28,08:27:22,06:00:15,03:02:21,00:00:00,34:36:25
TD Tran,Personal,TD Tran,02:25:01,02:25:09,02:00:18,02:54:21,01:25:22,02:30:59,00:00:00,13:41:10
TD Tran,Productive Time,TD Tran,00:00:00,00:00:00,00:00:00,00:24:10,00:52:00,00:00:00,00:00:00,01:16:10
TD Tran,Sleep,TD Tran,10:37:41,07:53:08,10:50:06,03:31:30,09:30:58,07:29:06,00:00:00,49:52:29
TD Tran,Unproductive Time,TD Tran,03:41:38,05:01:45,06:12:36,02:41:46,04:49:04,02:48:52,00:00:00,25:15:41
